ensembl_gene_id	external_gene_name	ensembl_transcript_id	description	chromosome_name	start_position	end_position	strand
46	WBGene00000035	ace-1	W09B12.1.1	Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433]	X	16367229	16373789	1
47	WBGene00000035	ace-1	W09B12.1.2	Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433]	X	16367229	16373789	1
48	WBGene00000036	ace-2	Y44E3A.2.1	Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDV9]	I	3302001	3307587	-1
49	WBGene00000037	ace-3	Y48B6A.8.1	Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:Q9U295]	II	14205633	14210214	1
50	WBGene00000038	ace-4	Y48B6A.7.1	Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDN1]	II	14198046	14205325	1
51	WBGene00000039	acn-1	C42D8.5a.1	Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]	X	5092458	5097067	-1
52	WBGene00000039	acn-1	C42D8.5a.2	Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]	X	5092458	5097067	-1
53	WBGene00000039	acn-1	C42D8.5b.1	Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]	X	5092458	5097067	-1
54	WBGene00000040	aco-1	ZK455.1.1	Probable cytoplasmic aconitate hydratase  [Source:UniProtKB/Swiss-Prot;Acc:Q23500]	X	11339874	11343568	1
55	WBGene00000040	aco-1	ZK455.1.2	Probable cytoplasmic aconitate hydratase  [Source:UniProtKB/Swiss-Prot;Acc:Q23500]	X	11339874	11343568	1
56	WBGene00000041	aco-2	F54H12.1a.1	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	III	7973717	7977355	1
57	WBGene00000041	aco-2	F54H12.1c.1	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	III	7973717	7977355	1
58	WBGene00000041	aco-2	F54H12.1c.2	Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]	III	7973717	7977355	1
59	WBGene00000042	acr-2	K11G12.2.1	Acetylcholine receptor subunit beta-type acr-2  [Source:UniProtKB/Swiss-Prot;Acc:P48182]	X	6702463	6709142	1
60	WBGene00000043	acr-3	K11G12.7.1	Acetylcholine receptor subunit beta-type acr-3  [Source:UniProtKB/Swiss-Prot;Acc:Q93149]	X	6709538	6712925	1
61	WBGene00000044	acr-5	K03F8.2.1	Acetylcholine receptor subunit alpha-type acr-5  [Source:UniProtKB/Swiss-Prot;Acc:P54246]	III	6509699	6514768	-1
62	WBGene00000045	acr-6	ZK973.5.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q9N4M3]	I	4359207	4362548	1
63	WBGene00000046	acr-7	T09A5.3.1	Acetylcholine receptor subunit alpha-type acr-7  [Source:UniProtKB/Swiss-Prot;Acc:P45963]	II	7845662	7849797	-1
64	WBGene00000047	acr-8	ZC504.2.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q23355]	X	10412725	10416630	1
65	WBGene00000047	acr-8	ZC504.2.2	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q23355]	X	10412725	10416630	1
66	WBGene00000048	acr-9	C40C9.2.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q18556]	X	13642348	13646898	-1
67	WBGene00000049	acr-10	R02E12.8.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q21645]	X	4022273	4025584	1
68	WBGene00000050	acr-11	D2092.3.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:P91197]	I	6621687	6624894	-1
69	WBGene00000051	acr-12	R01E6.4a.1	AcetylCholine Receptor; Nicotinic acetylcholine receptor-like subunit ACR-12  [Source:UniProtKB/TrEMBL;Acc:G5EDF1]	X	13532871	13536433	1
70	WBGene00000051	acr-12	R01E6.4b.1	AcetylCholine Receptor; Nicotinic acetylcholine receptor-like subunit ACR-12  [Source:UniProtKB/TrEMBL;Acc:G5EDF1]	X	13532871	13536433	1
71	WBGene00000053	acr-14	T05C12.2.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q22224]	II	8174845	8177195	-1
72	WBGene00000054	acr-15	F25G6.4.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:O16926]	V	8552695	8555388	1
73	WBGene00000055	acr-16	F25G6.3.1	Acetylcholine receptor subunit alpha-type acr-16  [Source:UniProtKB/Swiss-Prot;Acc:P48180]	V	8561216	8564345	1
74	WBGene00000056	acr-17	F53E10.2a	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
75	WBGene00000056	acr-17	F53E10.2b.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
76	WBGene00000056	acr-17	F53E10.2c	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
77	WBGene00000056	acr-17	F53E10.2d	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
78	WBGene00000056	acr-17	F53E10.2e	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
79	WBGene00000056	acr-17	F53E10.2f	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
80	WBGene00000056	acr-17	F53E10.2g.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
81	WBGene00000056	acr-17	F53E10.2h.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
82	WBGene00000056	acr-17	F53E10.2i.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDU0]	V	2608656	2615247	1
83	WBGene00000057	acr-18	F28F8.1.1	AcetylCholine Receptor; Acetylcholine receptor, one of nine alpha a7-like nicotinic acetylcholine receptor subunits (58.6 kD) (Acr-18)  [Source:UniProtKB/TrEMBL;Acc:G5EG72]	V	15551155	15559147	-1
84	WBGene00000058	acr-19	C31H5.3a.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:B3WFZ2]	I	9031274	9036695	-1
85	WBGene00000058	acr-19	C31H5.3b.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:B3WFZ2]	I	9031274	9036695	-1
86	WBGene00000059	acr-20	R06A4.10a.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q7JKI4]	II	14373831	14377890	-1
87	WBGene00000059	acr-20	R06A4.10b.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q7JKI4]	II	14373831	14377890	-1
88	WBGene00000059	acr-20	R06A4.10c.1	AcetylCholine Receptor  [Source:UniProtKB/TrEMBL;Acc:Q7JKI4]	II	14373831	14377890	-1
89	WBGene00000060	acr-21	F27B3.2a.1		III	6581927	6586549	1
90	WBGene00000060	acr-21	F27B3.2b.1		III	6581927	6586549	1
91	WBGene00000060	acr-21	F27B3.2c.1		III	6581927	6586549	1
92	WBGene00000060	acr-21	F27B3.2d.1		III	6581927	6586549	1
93	WBGene00000061	lgc-11	F48E3.7.1	Acetylcholine receptor (51.1 kD) (Acr-22); Ligand-Gated ion Channel  [Source:UniProtKB/TrEMBL;Acc:G5EGR1]	X	7503823	7506633	-1
94	WBGene00000062	acr-23	F59B1.9a.1	Betaine receptor acr-23  [Source:UniProtKB/Swiss-Prot;Acc:G5EG88]	V	3651686	3659499	-1
95	WBGene00000062	acr-23	F59B1.9b.1	Betaine receptor acr-23  [Source:UniProtKB/Swiss-Prot;Acc:G5EG88]	V	3651686	3659499	-1
96	WBGene00000063	act-1	T04C12.6.1	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	V	11079167	11082497	1
97	WBGene00000063	act-1	T04C12.6.2	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	V	11079167	11082497	1
98	WBGene00000063	act-1	T04C12.6.3	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	V	11079167	11082497	1
99	WBGene00000063	act-1	T04C12.6.4	Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	V	11079167	11082497	1
100	WBGene00000064	act-2	T04C12.5.1	Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]	V	11076723	11078168	-1
101	WBGene00000064	act-2	T04C12.5.2	Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]	V	11076723	11078168	-1
102	WBGene00000064	act-2	T04C12.5.3	Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]	V	11076723	11078168	-1
103	WBGene00000065	act-3	T04C12.4.1	Actin-3  [Source:UniProtKB/Swiss-Prot;Acc:P0DM42]	V	11071690	11074498	-1
104	WBGene00000065	act-3	T04C12.4.2	Actin-3  [Source:UniProtKB/Swiss-Prot;Acc:P0DM42]	V	11071690	11074498	-1
105	WBGene00000065	act-3	T04C12.4.3	Actin-3  [Source:UniProtKB/Swiss-Prot;Acc:P0DM42]	V	11071690	11074498	-1
106	WBGene00000066	act-4	M03F4.2a.1	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
107	WBGene00000066	act-4	M03F4.2b.1	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
108	WBGene00000066	act-4	M03F4.2b.2	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
109	WBGene00000066	act-4	M03F4.2b.3	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
110	WBGene00000066	act-4	M03F4.2b.4	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
111	WBGene00000066	act-4	M03F4.2b.5	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
112	WBGene00000066	act-4	M03F4.2b.6	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
113	WBGene00000066	act-4	M03F4.2c.1	Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	X	4960553	4964416	1
114	WBGene00000067	act-5	T25C8.2.1	ACTin  [Source:UniProtKB/TrEMBL;Acc:O45815]	III	13604339	13606067	-1
115	WBGene00000067	act-5	T25C8.2.2	ACTin  [Source:UniProtKB/TrEMBL;Acc:O45815]	III	13604339	13606067	-1
116	WBGene00000067	act-5	T25C8.2.3	ACTin  [Source:UniProtKB/TrEMBL;Acc:O45815]	III	13604339	13606067	-1
117	WBGene00000068	acy-1	F17C8.1.1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:Q19523]	III	4722126	4730919	1
118	WBGene00000069	acy-2	C10F3.3.1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:O16880]	V	5976029	5981513	1
119	WBGene00000070	acy-3	C44F1.5.1	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:G5EE33]	III	3774896	3786640	-1
120	WBGene00000070	acy-3	C44F1.5.2	Adenylyl CYclase  [Source:UniProtKB/TrEMBL;Acc:G5EE33]	III	3774896	3786640	-1
121	WBGene00000071	acy-4	T01C2.1.1	Adenylate cyclase  [Source:UniProtKB/TrEMBL;Acc:Q966F9]	V	5624727	5630892	-1
122	WBGene00000072	add-1	F39C12.2a.1	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	X	4854069	4860036	-1
123	WBGene00000072	add-1	F39C12.2b.1	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	X	4854069	4860036	-1
124	WBGene00000072	add-1	F39C12.2c.1	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	X	4854069	4860036	-1
125	WBGene00000072	add-1	F39C12.2d.1	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	X	4854069	4860036	-1
126	WBGene00000072	add-1	F39C12.2e.1	Adducin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U9K0]	X	4854069	4860036	-1
127	WBGene00000073	add-2	F57F5.4a.1	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	V	12009537	12013605	-1
128	WBGene00000073	add-2	F57F5.4a.2	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	V	12009537	12013605	-1
129	WBGene00000073	add-2	F57F5.4a.3	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	V	12009537	12013605	-1
130	WBGene00000073	add-2	F57F5.4b.1	Adducin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20952]	V	12009537	12013605	-1
131	WBGene00000074	adm-2	C04A11.4a.1	ADAM (Disintegrin plus metalloprotease) family  [Source:UniProtKB/TrEMBL;Acc:G5EDW5]	X	13687973	13695800	1
132	WBGene00000074	adm-2	C04A11.4b.1	ADAM (Disintegrin plus metalloprotease) family  [Source:UniProtKB/TrEMBL;Acc:G5EDW5]	X	13687973	13695800	1
133	WBGene00000075	adm-4	ZK154.7.1	Disintegrin and metalloproteinase domain-containing protein 17 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q94316]	X	7795046	7798287	-1
134	WBGene00000079	adr-1	H15N14.1c.1	A-to-I RNA editing regulator adr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U3D6]	I	7773180	7777652	1
135	WBGene00000079	adr-1	H15N14.1d.1	A-to-I RNA editing regulator adr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U3D6]	I	7773180	7777652	1
136	WBGene00000079	adr-1	H15N14.1e.1	A-to-I RNA editing regulator adr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U3D6]	I	7773180	7777652	1
137	WBGene00000079	adr-1	H15N14.1f.1	A-to-I RNA editing regulator adr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U3D6]	I	7773180	7777652	1
138	WBGene00000079	adr-1	H15N14.1g.1	A-to-I RNA editing regulator adr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U3D6]	I	7773180	7777652	1
139	WBGene00000080	adr-2	T20H4.4.1	Double-stranded RNA-specific adenosine deaminase adr-2  [Source:UniProtKB/Swiss-Prot;Acc:Q22618]	III	7230964	7232882	-1
140	WBGene00000080	adr-2	T20H4.4.2	Double-stranded RNA-specific adenosine deaminase adr-2  [Source:UniProtKB/Swiss-Prot;Acc:Q22618]	III	7230964	7232882	-1
141	WBGene00000081	ads-1	Y50D7A.7.1	Alkyldihydroxyacetonephosphate synthase  [Source:UniProtKB/Swiss-Prot;Acc:O45218]	III	295651	298556	-1
142	WBGene00000082	adt-1	C02B4.1.1	A disintegrin and metalloproteinase with thrombospondin motifs adt-1  [Source:UniProtKB/Swiss-Prot;Acc:G5ECS8]	X	12678832	12689279	1
143	WBGene00000083	adt-2	F08C6.1a.1	A disintegrin and metalloproteinase with thrombospondin motifs adt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19204]	X	7585587	7595414	1
144	WBGene00000083	adt-2	F08C6.1a.2	A disintegrin and metalloproteinase with thrombospondin motifs adt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19204]	X	7585587	7595414	1
145	WBGene00000083	adt-2	F08C6.1b.1	A disintegrin and metalloproteinase with thrombospondin motifs adt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19204]	X	7585587	7595414	1
146	WBGene00000083	adt-2	F08C6.1b.2	A disintegrin and metalloproteinase with thrombospondin motifs adt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19204]	X	7585587	7595414	1
147	WBGene00000083	adt-2	F08C6.1c.1	A disintegrin and metalloproteinase with thrombospondin motifs adt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19204]	X	7585587	7595414	1
148	WBGene00000083	adt-2	F08C6.1c.2	A disintegrin and metalloproteinase with thrombospondin motifs adt-2  [Source:UniProtKB/Swiss-Prot;Acc:Q19204]	X	7585587	7595414	1
149	WBGene00000084	aex-1	D2030.10a.1	C2 domain-containing protein aex-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEU3]	I	7602307	7608245	1
150	WBGene00000084	aex-1	D2030.10a.2	C2 domain-containing protein aex-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEU3]	I	7602307	7608245	1
151	WBGene00000084	aex-1	D2030.10b.1	C2 domain-containing protein aex-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEU3]	I	7602307	7608245	1
152	WBGene00000085	aex-2	T14B1.2.1	G-protein coupled receptor aex-2  [Source:UniProtKB/Swiss-Prot;Acc:G5ECD9]	X	9650999	9653116	-1
153	WBGene00000086	aex-3	C02H7.3a.1	MAP kinase-activating death domain protein  [Source:UniProtKB/Swiss-Prot;Acc:O02626]	X	751211	759732	-1
154	WBGene00000086	aex-3	C02H7.3b.1	MAP kinase-activating death domain protein  [Source:UniProtKB/Swiss-Prot;Acc:O02626]	X	751211	759732	-1
155	WBGene00000088	aex-5	F32A7.6.1	Endoprotease aex-5  [Source:UniProtKB/Swiss-Prot;Acc:P91863]	I	14850054	14855827	-1
156	WBGene00000089	aex-6	Y87G2A.4.1	Rab27  [Source:UniProtKB/TrEMBL;Acc:G5EBS5]	I	13543079	13545188	-1
157	WBGene00000090	age-1	B0334.8a.1	Phosphatidylinositol 3-kinase age-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94125]	II	11519323	11527062	-1
158	WBGene00000090	age-1	B0334.8b.1	Phosphatidylinositol 3-kinase age-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94125]	II	11519323	11527062	-1
159	WBGene00000092	ags-3	F32A6.4a.1	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
160	WBGene00000092	ags-3	F32A6.4a.2	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
161	WBGene00000092	ags-3	F32A6.4b	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
162	WBGene00000092	ags-3	F32A6.4c	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
163	WBGene00000092	ags-3	F32A6.4d.1	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
164	WBGene00000092	ags-3	F32A6.4e.1	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
165	WBGene00000092	ags-3	F32A6.4f.1	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
166	WBGene00000092	ags-3	F32A6.4g.1	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
167	WBGene00000092	ags-3	F32A6.4g.2	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
168	WBGene00000092	ags-3	F32A6.4g.3	Activator of G protein Signalling  [Source:UniProtKB/TrEMBL;Acc:A0A131MBW5]	X	5289728	5303512	-1
169	WBGene00000093	agt-1	Y62E10A.5a.1	AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q9U1Y0]	IV	13368368	13369417	-1
170	WBGene00000093	agt-1	Y62E10A.5a.2	AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q9U1Y0]	IV	13368368	13369417	-1
171	WBGene00000093	agt-1	Y62E10A.5b.1	AlkylGuanine DNA alkylTransferase  [Source:UniProtKB/TrEMBL;Acc:Q9U1Y0]	IV	13368368	13369417	-1
